STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00211630,"CLOQUET, MN US",46.70539,-92.52391,385.6,1932,269,269,79,58,,,60,204,104,122,8,-28,,,2.3,96,8771,8771,25.67,,38.7,51.3,26.1
USC00211691,"COLLEGEVILLE ST. JOHN S, MN US",45.5794,-94.392,368.8,1932,560,560,92,38,,,45,174,100,124,12,-21,,,1.77,95,8040,8040,16.89,,42.1,52.5,31.7
USC00211891,"CROOKSTON NW EXPERIMENTAL STATION, MN US",47.8014,-96.6031,270.7,1932,582,582,81,36,,,58,187,119,130,21,-25,,,2.88,101,8691,8691,15.24,,40.2,50.9,29.5
USC00471978,"DANBURY, WI US",46.0087,-92.3735,289.6,1932,497,497,75,58,,25,53,195,83,137,28,-34,,6,1.9,99,7754,7754,24.42,65.5,41.4,55.6,27.2
USC00212142,"DETROIT LAKES 1 NNE, MN US",46.8373,-95.8375,413,1932,522,522,69,52,,15,69,187,105,125,16,-30,,5.5,1.15,98,8489,8489,19.13,31.7,39.8,51.2,28.3
USC00212698,"FAIRMONT, MN US",43.6447,-94.4656,361.8,1932,780,780,90,60,,,33,165,77,143,24,-20,,,2.37,100,6926,6926,25.11,,45.4,56,34.7
USC00212721,"FARIBAULT, MN US",44.3092,-93.266,295.7,1932,,,,,,,32,162,68,142,26,-20,,,,99,,,,,45.6,56.6,34.7
USC00212768,"FERGUS FALLS, MN US",46.2919,-96.1172,381,1932,585,585,,,,15,60,187,104,128,21,-23,,11.2,,101,8274,8274,,49.4,41.2,52.3,30.1
USC00212904,"FORT RIPLEY, MN US",46.18056,-94.36556,345.6,1932,,,,,,,,,,,,,,,,,8526,8526,,,,,
USC00212916,"FOSSTON 1 E, MN US",47.5639,-95.7246,396.2,1932,469,469,65,44,,,72,191,120,124,19,-32,,,1.18,100,8895,8895,18.05,,38.7,50.1,27.3
USC00213206,"GONVICK 2 W, MN US",47.73333,-95.51667,437.7,1932,,,70,41,,,,,,,,,,,1.45,,,,18.06,,,,
USC00213282,"GRAND MARAIS, MN US",47.7518,-90.3282,186.5,1932,69,69,101,82,,,33,171,84,63,0,-23,,,2.3,86,8383,8383,29.74,,38.9,47.5,30.4
USC00213290,"GRAND MEADOW, MN US",43.7047,-92.5644,411.5,1932,498,498,100,56,,19,39,182,83,130,11,-25,,7,1.43,96,7489,7489,27.2,57.3,43,53.9,32.1
USC00213303,"GRAND RAPIDS FRS LAB, MN US",47.2436,-93.4975,399.3,1932,282,282,111,61,,,62,186,112,118,4,-28,,,2.08,95,8676,8676,28.17,,38.7,50.6,26.9
USC00213455,"HALLOCK, MN US",48.7715,-96.9406,248.4,1932,443,443,82,54,,21,85,200,130,121,13,-28,,4,1.2,97,9252,9252,19.15,36.9,37.3,48.4,26.1
USC00214106,"ITASCA UNIVERSITY OF MINN, MN US",47.2255,-95.1919,454.2,1932,,,85,64,,,,,114,115,8,,,,0.9,98,9325,9325,20.84,,,49.9,
USC00214652,"LEECH LAKE DAM, MN US",47.2467,-94.2228,396.8,1932,322,322,107,52,,,63,197,107,121,12,-29,,,1.01,97,8754,8754,17.29,,38.7,51,26.5
USC00214793,"LITTLE FALLS 2 NNE, MN US",46.0039,-94.345,341.4,1932,549,549,60,38,,13,47,185,100,132,18,-23,,7,0.9,100,7895,7895,17.67,34.9,41.6,53.2,30.1
USC00215012,"MAHNOMEN, MN US",47.3169,-95.9691,369.4,1932,,,72,38,,,,,,,,,,,1.13,,,,16.22,,,,
USC00215136,"MAPLE PLAIN, MN US",45,-93.65,295.7,1932,737,737,118,56,,20,50,175,80,138,27,-24,,8,2.57,101,7350,7350,28.53,75,43.8,55.5,32.2
USC00215298,"MEADOWLANDS 9 S, MN US",46.98333,-92.73333,386.8,1932,212,212,89,59,,,67,215,103,114,5,-32,,,1.45,93,8920,8920,22.03,,37.8,51,24.6
USC00215392,"MILACA, MN US",45.7532,-93.6617,324.3,1932,596,596,97,41,,,44,174,96,134,20,-23,,,1.16,98,7617,7617,18.17,,42.9,54,31.7
USC00215400,"MILAN 1 NW, MN US",45.1219,-95.9269,310.9,1932,725,725,,,,,45,176,87,147,25,-23,,,,104,7704,7704,,,43.6,55.4,31.8
